Environment,,,,,,,Environment,,,Social,,,,,,,Social,,,Governance,,,,,,Governance,,,ESG,
C,E1,E2,E3,E4,E*W,,C,Score,,C,S1,S2,S3,S4,S*W,,C,Score,,C,G1,G2,G3,G*W,,C,Score,,C,Score
C1,1,1,1,1,0.25,,C1,0.25,,C1,1,1,0,0,0.08,,C1,0.08,,C1,1,1,0,0.17,,C1,0.17,,C1,0.164
C2,0,0,0,0,0.00,,C2,0.00,,C2,0,0,0,0,0.00,,C2,0.00,,C2,1,1,0,0.17,,C2,0.17,,C2,0.056
C3,0,1,0,0,0.05,,C3,0.05,,C3,1,0,1,1,0.20,,C3,0.20,,C3,1,1,0,0.17,,C3,0.17,,C3,0.139
C4,1,1,0,0,0.08,,C4,0.08,,C4,1,1,0,1,0.18,,C4,0.18,,C4,1,1,0,0.17,,C4,0.17,,C4,0.139
C5,1,0,0,0,0.03,,C5,0.03,,C5,1,0,0,0,0.03,,C5,0.03,,C5,1,1,0,0.17,,C5,0.17,,C5,0.072
C6,1,1,0,0,0.08,,C6,0.08,,C6,1,0,1,0,0.10,,C6,0.10,,C6,1,1,0,0.17,,C6,0.17,,C6,0.114
C7,1,1,0,0,0.08,,C7,0.08,,C7,1,0,1,0,0.10,,C7,0.10,,C7,1,1,1,0.33,,C7,0.33,,C7,0.169
C8,1,1,0,0,0.08,,C8,0.08,,C8,1,1,1,1,0.25,,C8,0.25,,C8,1,1,1,0.33,,C8,0.33,,C8,0.219
C9,1,0,0,0,0.03,,C9,0.03,,C9,1,0,0,0,0.03,,C9,0.03,,C9,1,1,0,0.17,,C9,0.17,,C9,0.072
C10,1,0,0,0,0.03,,C10,0.03,,C10,1,1,1,0,0.15,,C10,0.15,,C10,1,1,0,0.17,,C10,0.17,,C10,0.114
C11,1,1,0,0,0.08,,C11,0.08,,C11,1,1,0,0,0.08,,C11,0.08,,C11,1,1,0,0.17,,C11,0.17,,C11,0.106
C12,1,1,1,1,0.25,,C12,0.25,,C12,1,0,0,0,0.03,,C12,0.03,,C12,1,1,0,0.17,,C12,0.17,,C12,0.147
C13,1,1,1,0,0.15,,C13,0.15,,C13,1,0,0,0,0.03,,C13,0.03,,C13,1,1,0,0.17,,C13,0.17,,C13,0.114
C14,1,0,0,0,0.03,,C14,0.03,,C14,1,1,1,0,0.15,,C14,0.15,,C14,1,1,0,0.17,,C14,0.17,,C14,0.114
C15,1,1,0,0,0.08,,C15,0.08,,C15,1,0,0,0,0.03,,C15,0.03,,C15,1,1,0,0.17,,C15,0.17,,C15,0.089
C16,0,0,0,0,0.00,,C16,0.00,,C16,0,1,1,0,0.13,,C16,0.13,,C16,1,1,0,0.17,,C16,0.17,,C16,0.097
C17,1,1,1,0,0.15,,C17,0.15,,C17,1,1,1,1,0.25,,C17,0.25,,C17,1,1,0,0.17,,C17,0.17,,C17,0.189
C18,1,1,1,0,0.15,,C18,0.15,,C18,1,1,1,0,0.15,,C18,0.15,,C18,1,1,0,0.17,,C18,0.17,,C18,0.156
C19,1,0,0,0,0.03,,C19,0.03,,C19,1,0,0,0,0.03,,C19,0.03,,C19,1,1,0,0.17,,C19,0.17,,C19,0.072
C20,0,0,0,0,0.00,,C20,0.00,,C20,0,1,1,1,0.23,,C20,0.23,,C20,1,1,0,0.17,,C20,0.17,,C20,0.131
C21,1,0,0,0,0.03,,C21,0.03,,C21,1,0,0,0,0.03,,C21,0.03,,C21,1,1,0,0.17,,C21,0.17,,C21,0.072
C22,1,1,1,0,0.15,,C22,0.15,,C22,1,1,1,1,0.25,,C22,0.25,,C22,1,1,0,0.17,,C22,0.17,,C22,0.189
C23,1,1,0,0,0.08,,C23,0.08,,C23,1,0,1,0,0.10,,C23,0.10,,C23,1,1,0,0.17,,C23,0.17,,C23,0.114
C24,1,0,0,0,0.03,,C24,0.03,,C24,1,1,1,1,0.25,,C24,0.25,,C24,1,1,0,0.17,,C24,0.17,,C24,0.147
C25,1,1,1,1,0.25,,C25,0.25,,C25,1,1,1,0,0.15,,C25,0.15,,C25,1,1,1,0.33,,C25,0.33,,C25,0.244
C26,1,1,1,1,0.25,,C26,0.25,,C26,1,1,1,0,0.15,,C26,0.15,,C26,1,1,0,0.17,,C26,0.17,,C26,0.189
C27,0,1,0,0,0.05,,C27,0.05,,C27,1,0,0,0,0.03,,C27,0.03,,C27,1,1,0,0.17,,C27,0.17,,C27,0.081
C28,1,0,0,0,0.03,,C28,0.03,,C28,1,1,0,0,0.08,,C28,0.08,,C28,1,1,0,0.17,,C28,0.17,,C28,0.089
